run_id;algorithm;instance_id;instance_path;graph;n;k;m;density;instance_seed;algorithm_seed;budget;iteration;time_ms;current_cost;best_cost;avg_cost;std_cost;note
0003_ea_personalized_inst01_interval_n50_k8_d035_s1001_s42;ea_personalized;inst01_interval_n50_k8_d035_s1001;experiments\20260618_124336_best_configs\instances\inst01_interval_n50_k8_d035_s1001.txt;interval;50;8;223;0.35;1001;42;50000;0;5;60327;60327;369311.74;160260.0378;init
0003_ea_personalized_inst01_interval_n50_k8_d035_s1001_s42;ea_personalized;inst01_interval_n50_k8_d035_s1001;experiments\20260618_124336_best_configs\instances\inst01_interval_n50_k8_d035_s1001.txt;interval;50;8;223;0.35;1001;42;50000;1;17;13;13;9913.5;15385.09052;generation
0003_ea_personalized_inst01_interval_n50_k8_d035_s1001_s42;ea_personalized;inst01_interval_n50_k8_d035_s1001;experiments\20260618_124336_best_configs\instances\inst01_interval_n50_k8_d035_s1001.txt;interval;50;8;223;0.35;1001;42;50000;2;30;13;13;11254.19;14600.22445;generation
0003_ea_personalized_inst01_interval_n50_k8_d035_s1001_s42;ea_personalized;inst01_interval_n50_k8_d035_s1001;experiments\20260618_124336_best_configs\instances\inst01_interval_n50_k8_d035_s1001.txt;interval;50;8;223;0.35;1001;42;50000;3;40;13;13;10587.63;15175.09482;generation
0003_ea_personalized_inst01_interval_n50_k8_d035_s1001_s42;ea_personalized;inst01_interval_n50_k8_d035_s1001;experiments\20260618_124336_best_configs\instances\inst01_interval_n50_k8_d035_s1001.txt;interval;50;8;223;0.35;1001;42;50000;4;52;13;13;10946.16;14330.54444;generation
0003_ea_personalized_inst01_interval_n50_k8_d035_s1001_s42;ea_personalized;inst01_interval_n50_k8_d035_s1001;experiments\20260618_124336_best_configs\instances\inst01_interval_n50_k8_d035_s1001.txt;interval;50;8;223;0.35;1001;42;50000;5;64;13;13;8523.86;13968.28389;generation
0003_ea_personalized_inst01_interval_n50_k8_d035_s1001_s42;ea_personalized;inst01_interval_n50_k8_d035_s1001;experiments\20260618_124336_best_configs\instances\inst01_interval_n50_k8_d035_s1001.txt;interval;50;8;223;0.35;1001;42;50000;6;75;13;13;10713.76;15152.00776;generation
0003_ea_personalized_inst01_interval_n50_k8_d035_s1001_s42;ea_personalized;inst01_interval_n50_k8_d035_s1001;experiments\20260618_124336_best_configs\instances\inst01_interval_n50_k8_d035_s1001.txt;interval;50;8;223;0.35;1001;42;50000;7;86;13;13;11103.66;16172.78691;generation
0003_ea_personalized_inst01_interval_n50_k8_d035_s1001_s42;ea_personalized;inst01_interval_n50_k8_d035_s1001;experiments\20260618_124336_best_configs\instances\inst01_interval_n50_k8_d035_s1001.txt;interval;50;8;223;0.35;1001;42;50000;8;96;13;13;10290.1;15171.94353;generation
0003_ea_personalized_inst01_interval_n50_k8_d035_s1001_s42;ea_personalized;inst01_interval_n50_k8_d035_s1001;experiments\20260618_124336_best_configs\instances\inst01_interval_n50_k8_d035_s1001.txt;interval;50;8;223;0.35;1001;42;50000;9;106;13;13;11087.59;15134.3299;generation
