run_id;algorithm;instance_id;instance_path;graph;n;k;m;density;instance_seed;algorithm_seed;budget;iteration;time_ms;current_cost;best_cost;avg_cost;std_cost;note
0011_chaitin_baseline_inst03_chordal_n60_k8_d065_s1003;chaitin_baseline;inst03_chordal_n60_k8_d065_s1003;experiments\20260618_124336_best_configs\instances\inst03_chordal_n60_k8_d065_s1003.txt;chordal;60;8;148;0.65;1003;0;120;0;4;0;0;0;0;simplify
0011_chaitin_baseline_inst03_chordal_n60_k8_d065_s1003;chaitin_baseline;inst03_chordal_n60_k8_d065_s1003;experiments\20260618_124336_best_configs\instances\inst03_chordal_n60_k8_d065_s1003.txt;chordal;60;8;148;0.65;1003;0;120;1;4;0;0;0;0;simplify
0011_chaitin_baseline_inst03_chordal_n60_k8_d065_s1003;chaitin_baseline;inst03_chordal_n60_k8_d065_s1003;experiments\20260618_124336_best_configs\instances\inst03_chordal_n60_k8_d065_s1003.txt;chordal;60;8;148;0.65;1003;0;120;2;4;0;0;0;0;simplify
0011_chaitin_baseline_inst03_chordal_n60_k8_d065_s1003;chaitin_baseline;inst03_chordal_n60_k8_d065_s1003;experiments\20260618_124336_best_configs\instances\inst03_chordal_n60_k8_d065_s1003.txt;chordal;60;8;148;0.65;1003;0;120;3;4;0;0;0;0;simplify
0011_chaitin_baseline_inst03_chordal_n60_k8_d065_s1003;chaitin_baseline;inst03_chordal_n60_k8_d065_s1003;experiments\20260618_124336_best_configs\instances\inst03_chordal_n60_k8_d065_s1003.txt;chordal;60;8;148;0.65;1003;0;120;4;4;0;0;0;0;simplify
0011_chaitin_baseline_inst03_chordal_n60_k8_d065_s1003;chaitin_baseline;inst03_chordal_n60_k8_d065_s1003;experiments\20260618_124336_best_configs\instances\inst03_chordal_n60_k8_d065_s1003.txt;chordal;60;8;148;0.65;1003;0;120;5;4;0;0;0;0;simplify
0011_chaitin_baseline_inst03_chordal_n60_k8_d065_s1003;chaitin_baseline;inst03_chordal_n60_k8_d065_s1003;experiments\20260618_124336_best_configs\instances\inst03_chordal_n60_k8_d065_s1003.txt;chordal;60;8;148;0.65;1003;0;120;6;4;0;0;0;0;simplify
0011_chaitin_baseline_inst03_chordal_n60_k8_d065_s1003;chaitin_baseline;inst03_chordal_n60_k8_d065_s1003;experiments\20260618_124336_best_configs\instances\inst03_chordal_n60_k8_d065_s1003.txt;chordal;60;8;148;0.65;1003;0;120;7;4;0;0;0;0;simplify
0011_chaitin_baseline_inst03_chordal_n60_k8_d065_s1003;chaitin_baseline;inst03_chordal_n60_k8_d065_s1003;experiments\20260618_124336_best_configs\instances\inst03_chordal_n60_k8_d065_s1003.txt;chordal;60;8;148;0.65;1003;0;120;8;5;0;0;0;0;simplify
0011_chaitin_baseline_inst03_chordal_n60_k8_d065_s1003;chaitin_baseline;inst03_chordal_n60_k8_d065_s1003;experiments\20260618_124336_best_configs\instances\inst03_chordal_n60_k8_d065_s1003.txt;chordal;60;8;148;0.65;1003;0;120;9;5;0;0;0;0;simplify
