variable;register;weight
1;2;13
2;7;105
3;4;5
4;8;112
5;6;104
6;4;4
7;5;12
8;3;14
9;1;3
10;1;15
11;6;12
12;7;14
13;2;5
14;8;22
15;3;125
16;4;115
17;7;111
18;6;103
19;5;102
20;1;202
21;3;34
22;2;25
23;7;123
24;5;213
25;6;12
26;8;30
27;6;3
28;3;113
29;1;12
30;8;23
31;2;206
32;5;127
33;4;122
34;2;2
35;8;123
36;6;11
37;7;112
38;7;26
39;8;2
40;2;2
41;3;22
42;3;114
43;1;3
44;1;17
45;6;110
46;7;103
47;8;4
48;3;22
49;3;25
50;4;12
51;1;5
52;4;102
53;4;111
54;5;104
55;1;2
56;4;16
57;2;13
58;6;13
59;3;3
60;8;5
