variable;register;weight
1;4;13
2;3;105
3;7;5
4;5;112
5;6;104
6;8;4
7;3;12
8;7;14
9;8;3
10;4;15
11;4;12
12;3;14
13;6;5
14;1;22
15;2;125
16;5;115
17;5;111
18;4;103
19;2;102
20;3;202
21;1;34
22;2;25
23;1;123
24;3;213
25;2;12
26;4;30
27;1;3
28;2;113
29;2;12
30;1;23
31;3;206
32;1;127
33;1;122
34;2;2
35;2;123
36;2;11
37;2;112
38;1;26
39;1;2
40;3;2
41;1;22
42;2;114
43;4;3
44;1;17
45;1;110
46;1;103
47;1;4
48;2;22
49;1;25
50;1;12
51;2;5
52;2;102
53;1;111
54;1;104
55;1;2
56;1;16
57;1;13
58;1;13
59;1;3
60;1;5
