run_id;algorithm;instance_id;instance_path;graph;n;k;m;density;instance_seed;algorithm_seed;budget;popSize;px;pm;tournamentSize;eliteCount;chaitinFraction;mutationType;crossoverType;time_ms;best_cost;spills;feasible;evals;iteration_file;solution_file;note
0001_chaitin_baseline_inst01_interval_n50_k8_d035_s1001;chaitin_baseline;inst01_interval_n50_k8_d035_s1001;experiments\20260618_124336_best_configs\instances\inst01_interval_n50_k8_d035_s1001.txt;interval;50;8;223;0.35;1001;0;100;;;;;;;;;4;13;1;yes;0;experiments\20260618_124336_best_configs\logs\0001_chaitin_baseline_inst01_interval_n50_k8_d035_s1001_iterations.csv;experiments\20260618_124336_best_configs\solutions\0001_chaitin_baseline_inst01_interval_n50_k8_d035_s1001_solution.csv;done
0002_ea_general_inst01_interval_n50_k8_d035_s1001_s42;ea_general;inst01_interval_n50_k8_d035_s1001;experiments\20260618_124336_best_configs\instances\inst01_interval_n50_k8_d035_s1001.txt;interval;50;8;223;0.35;1001;42;50000;200;0.9;0.3;3;2;0.0;change;uniform;2211;14;1;yes;50000;experiments\20260618_124336_best_configs\logs\0002_ea_general_inst01_interval_n50_k8_d035_s1001_s42_iterations.csv;experiments\20260618_124336_best_configs\solutions\0002_ea_general_inst01_interval_n50_k8_d035_s1001_s42_solution.csv;done
0003_ea_personalized_inst01_interval_n50_k8_d035_s1001_s42;ea_personalized;inst01_interval_n50_k8_d035_s1001;experiments\20260618_124336_best_configs\instances\inst01_interval_n50_k8_d035_s1001.txt;interval;50;8;223;0.35;1001;42;50000;100;0.9;0.6;3;2;0.3;repair;smart;10763;13;1;yes;50000;experiments\20260618_124336_best_configs\logs\0003_ea_personalized_inst01_interval_n50_k8_d035_s1001_s42_iterations.csv;experiments\20260618_124336_best_configs\solutions\0003_ea_personalized_inst01_interval_n50_k8_d035_s1001_s42_solution.csv;done
0004_ea_general_inst01_interval_n50_k8_d035_s1001_s1042;ea_general;inst01_interval_n50_k8_d035_s1001;experiments\20260618_124336_best_configs\instances\inst01_interval_n50_k8_d035_s1001.txt;interval;50;8;223;0.35;1001;1042;50000;200;0.9;0.3;3;2;0.0;change;uniform;4802;103;1;yes;50000;experiments\20260618_124336_best_configs\logs\0004_ea_general_inst01_interval_n50_k8_d035_s1001_s1042_iterations.csv;experiments\20260618_124336_best_configs\solutions\0004_ea_general_inst01_interval_n50_k8_d035_s1001_s1042_solution.csv;done
0005_ea_personalized_inst01_interval_n50_k8_d035_s1001_s1042;ea_personalized;inst01_interval_n50_k8_d035_s1001;experiments\20260618_124336_best_configs\instances\inst01_interval_n50_k8_d035_s1001.txt;interval;50;8;223;0.35;1001;1042;50000;100;0.9;0.6;3;2;0.3;repair;smart;9014;13;1;yes;50000;experiments\20260618_124336_best_configs\logs\0005_ea_personalized_inst01_interval_n50_k8_d035_s1001_s1042_iterations.csv;experiments\20260618_124336_best_configs\solutions\0005_ea_personalized_inst01_interval_n50_k8_d035_s1001_s1042_solution.csv;done
0006_chaitin_baseline_inst02_erdos_n50_k8_d025_s1002;chaitin_baseline;inst02_erdos_n50_k8_d025_s1002;experiments\20260618_124336_best_configs\instances\inst02_erdos_n50_k8_d025_s1002.txt;erdos;50;8;280;0.25;1002;0;100;;;;;;;;;5;2;1;yes;0;experiments\20260618_124336_best_configs\logs\0006_chaitin_baseline_inst02_erdos_n50_k8_d025_s1002_iterations.csv;experiments\20260618_124336_best_configs\solutions\0006_chaitin_baseline_inst02_erdos_n50_k8_d025_s1002_solution.csv;done
0007_ea_general_inst02_erdos_n50_k8_d025_s1002_s42;ea_general;inst02_erdos_n50_k8_d025_s1002;experiments\20260618_124336_best_configs\instances\inst02_erdos_n50_k8_d025_s1002.txt;erdos;50;8;280;0.25;1002;42;50000;200;0.9;0.3;3;2;0.0;change;uniform;3400;0;0;yes;50000;experiments\20260618_124336_best_configs\logs\0007_ea_general_inst02_erdos_n50_k8_d025_s1002_s42_iterations.csv;experiments\20260618_124336_best_configs\solutions\0007_ea_general_inst02_erdos_n50_k8_d025_s1002_s42_solution.csv;done
0008_ea_personalized_inst02_erdos_n50_k8_d025_s1002_s42;ea_personalized;inst02_erdos_n50_k8_d025_s1002;experiments\20260618_124336_best_configs\instances\inst02_erdos_n50_k8_d025_s1002.txt;erdos;50;8;280;0.25;1002;42;50000;100;0.9;0.6;3;2;0.3;repair;smart;11795;0;0;yes;50000;experiments\20260618_124336_best_configs\logs\0008_ea_personalized_inst02_erdos_n50_k8_d025_s1002_s42_iterations.csv;experiments\20260618_124336_best_configs\solutions\0008_ea_personalized_inst02_erdos_n50_k8_d025_s1002_s42_solution.csv;done
0009_ea_general_inst02_erdos_n50_k8_d025_s1002_s1042;ea_general;inst02_erdos_n50_k8_d025_s1002;experiments\20260618_124336_best_configs\instances\inst02_erdos_n50_k8_d025_s1002.txt;erdos;50;8;280;0.25;1002;1042;50000;200;0.9;0.3;3;2;0.0;change;uniform;3149;32;1;yes;50000;experiments\20260618_124336_best_configs\logs\0009_ea_general_inst02_erdos_n50_k8_d025_s1002_s1042_iterations.csv;experiments\20260618_124336_best_configs\solutions\0009_ea_general_inst02_erdos_n50_k8_d025_s1002_s1042_solution.csv;done
0010_ea_personalized_inst02_erdos_n50_k8_d025_s1002_s1042;ea_personalized;inst02_erdos_n50_k8_d025_s1002;experiments\20260618_124336_best_configs\instances\inst02_erdos_n50_k8_d025_s1002.txt;erdos;50;8;280;0.25;1002;1042;50000;100;0.9;0.6;3;2;0.3;repair;smart;9663;0;0;yes;50000;experiments\20260618_124336_best_configs\logs\0010_ea_personalized_inst02_erdos_n50_k8_d025_s1002_s1042_iterations.csv;experiments\20260618_124336_best_configs\solutions\0010_ea_personalized_inst02_erdos_n50_k8_d025_s1002_s1042_solution.csv;done
